カテゴリ,指標名,何が分かるか,設定,設定タイミング,備考
誰が来たか,ユーザー数,何人来たか,自動,Phase 1,スニペット貼るだけ。KPI3（セッション＝GA4ユーザー数）に対応（2026-06-11更新）
誰が来たか,新規/リピーター,初めてか2回目以降か,自動,Phase 1,
誰が来たか,デバイス,スマホ/PC/タブレット,自動,Phase 1,
誰が来たか,地域,どこから見ているか（都道府県レベル）,自動,Phase 1,
誰が来たか,年齢/性別,ざっくりの属性,要設定,Phase 1,管理画面「データの収集と修正＞データ収集」でGoogleシグナルをONにし「デモグラフィックと興味/関心のデータ収集」を有効化。2024年2月の仕様変更でシグナルはレポート用識別子から除外されたが属性データ取得には引き続き有効化が必要。データしきい値で少数データは非表示になる点に注意（2026-06-11更新）
誰が来たか,言語,ブラウザの言語設定,自動,Phase 1,インバウンドユーザーの割合が分かる
どこから来たか,Organic Search,Google検索から来た人,自動,Phase 1,KPI4（Organic Search流入）に対応。クエリ内訳はSearch Console連携で確認（2026-06-11更新）
どこから来たか,Direct,URL直接入力/ブックマークから来た人,自動,Phase 1,
どこから来たか,Social,SNS（Instagram/X/Facebook等）から来た人,自動,Phase 1,
どこから来たか,Referral,他サイトのリンクから来た人,自動,Phase 1,ショップのブログ等からの流入が分かる
どこから来たか,Paid Search,Google広告から来た人,自動,Phase 1,広告出稿後に数値が出る
どこから来たか,参照元/メディア,具体的にどのサイト/SNSから来たか,自動,Phase 1,例: instagram.com / referral
サイト内行動,ページビュー,どのページを何回見たか,自動,Phase 1,
サイト内行動,平均エンゲージメント時間,各ページで実際に操作していた時間,自動,Phase 1,GA4にはUA時代の「平均滞在時間」はなく、この指標で見る
サイト内行動,直帰率,エンゲージメントしなかったセッションの割合,自動,Phase 1,UAと定義が異なる（10秒未満・CVなし・PV1回のセッション）。標準レポートでは非表示のためレポートのカスタマイズで列を追加する
サイト内行動,離脱率,各ページで離脱した人の割合,自動,Phase 1,標準レポートにはないため探索レポートで確認。離脱率が高いページ=改善ポイント
サイト内行動,ページ遷移,どのページからどのページに移動したか,自動,Phase 1,探索レポートの「経路データ探索」で確認
サイト内行動,スクロール,ページの90%までスクロールしたか,自動,Phase 1,拡張計測で自動取得
サイト内行動,サイト内検索,サイト内検索で何を検索したか,自動,Phase 1,拡張計測で自動取得（デフォルトON）。ただし検索結果URLにq/s/search/query/keywordのいずれかのパラメータが必要。RINCLEの検索URLが異なる場合は拡張計測の設定にパラメータを追加（2026-06-11更新）
サイト内行動,外部リンククリック,サイト外へのリンクをクリックしたか,自動,Phase 1,拡張計測で自動取得
サイト内行動,ファイルダウンロード,PDFなどをダウンロードしたか,自動,Phase 1,拡張計測で自動取得
サイト内行動,動画再生,埋め込み動画を再生したか,自動,Phase 1,拡張計測で自動取得（JS APIが有効なYouTube埋め込みのみ）
サイト内行動,フォーム操作,フォームの入力開始/送信をしたか,要設定,Phase 1,拡張計測機能の一部だが唯一デフォルトOFF。拡張計測の詳細設定で「フォームの操作」をONにする（form_start/form_submit）。予約フォーム改善の基礎データになる（2026-06-11追加）
カスタムイベント,検索実行,トップの検索バーで検索したか,要設定,Phase 2,エリア/日付/車種のパラメータも取得するとなお良い
カスタムイベント,車種詳細表示,車種の詳細ページを開いたか,要設定,Phase 2,どの車種が人気か分かる
カスタムイベント,比較に追加,比較機能を使ったか,要設定,Phase 2,比較機能の利用率が分かる（実装後）
カスタムイベント,予約フロー開始,予約ボタンを押したか,要設定,Phase 2,予約意向の計測
カスタムイベント,予約フローStep別,予約の各ステップまで進んだか,要設定,Phase 2,どのステップで離脱しているかが分かる
カスタムイベント,予約完了,予約が最後まで完了したか,要設定,Phase 2,最重要イベント。KPI5（予約CVR）・KGI（月間実入金）に直結。valueパラメータで予約金額を必ず送る（収益・LTV分析と広告最適化の基盤になる）（2026-06-11更新）
カスタムイベント,会員登録完了,会員登録が完了したか,要設定,Phase 2,
カスタムイベント,レビュー投稿,レビューを投稿したか,要設定,Phase 3,レビュー機能実装後
カスタムイベント,購入相談クリック,「購入相談」ボタンを押したか,要設定,Phase 3,ショップROIの計測に使える。収益第2柱（販売仲介）に直結するためキーイベント化も推奨（2026-06-11更新）
カスタムイベント,電話番号タップ,スマホで店舗の電話番号をタップしたか,要設定,Phase 2,tel:リンクのクリックをGTM等で計測。店舗への問い合わせはフォーム外で発生するため取りこぼし防止に必須（2026-06-11追加）
カスタムイベント,お気に入り追加,お気に入りに保存したか,要設定,Phase 3,お気に入り機能実装後
カスタムイベント,SNSシェア,SNSシェアボタンを押したか,要設定,Phase 3,口コミ拡散の計測
